level,vineyard_id,row_id,blocks,rows,segments,length_m,canopy_m2,canopy_ha,interrow_m2,interrow_ha,row_structure
total,,,70,2583,3213,123233.55,33176.92,3.3177,229571.62,22.9572,
block,V01,,,29,29,761.01,211.18,0.0211,1210.25,0.121,
block,V02,,,112,300,10796.59,2948.79,0.2949,20678.65,2.0679,
block,V03,,,16,16,305.22,162.28,0.0162,1079.27,0.1079,
block,V04,,,72,134,4834.92,1252.75,0.1253,10997.98,1.0998,
block,V05,,,13,13,548.11,226.73,0.0227,672.63,0.0673,
block,V06,,,5,5,222.02,93.87,0.0094,349.87,0.035,
block,V07,,,5,5,256.48,114.19,0.0114,403.65,0.0404,
block,V08,,,122,156,6126.84,1951.36,0.1951,11227.18,1.1227,
block,V09,,,3,3,37.16,18.68,0.0019,10.88,0.0011,
block,V10,,,16,16,741.55,215.07,0.0215,1159.32,0.1159,
block,V11,,,110,119,5203.4,1389.48,0.1389,8471.78,0.8472,
block,V12,,,3,3,170.97,99.7,0.01,453.67,0.0454,
block,V13,,,9,9,256.57,84.52,0.0085,372.21,0.0372,
block,V14,,,16,16,761.75,128.77,0.0129,991.86,0.0992,
block,V15,,,19,19,774.18,450.02,0.045,895.93,0.0896,
block,V16,,,5,5,228.5,65.86,0.0066,354.06,0.0354,
block,V17,,,9,9,434.9,168.06,0.0168,718.89,0.0719,
block,V18,,,3,3,44.32,20.35,0.002,58.64,0.0059,
block,V19,,,4,4,214.6,96.03,0.0096,196.03,0.0196,
block,V20,,,5,5,189.3,63.69,0.0064,246.94,0.0247,
block,V21,,,14,14,704.75,261.72,0.0262,1586.79,0.1587,
block,V22,,,11,13,452.73,124.75,0.0125,817.01,0.0817,
block,V23,,,9,9,464.01,143.29,0.0143,568.7,0.0569,
block,V24,,,70,140,5258.98,1044.34,0.1044,10775.18,1.0775,
block,V25,,,6,6,227.33,44.63,0.0045,404.45,0.0404,
block,V26,,,3,3,56.6,25.03,0.0025,74.03,0.0074,
block,V27,,,5,5,243.87,92.57,0.0093,482.3,0.0482,
block,V28,,,5,7,218.06,69.81,0.007,235.4,0.0235,
block,V29,,,73,158,5715.99,1354.12,0.1354,12246.36,1.2246,
block,V30,,,4,4,54.82,12.74,0.0013,36.57,0.0037,
block,V31,,,5,5,93.71,30.95,0.0031,124.73,0.0125,
block,V32,,,214,255,10499.08,2801.61,0.2802,20858.07,2.0858,
block,V33,,,3,3,161.26,78.93,0.0079,0.0,0.0,
block,V34,,,10,10,404.04,94.31,0.0094,783.03,0.0783,
block,V35,,,10,10,316.88,35.84,0.0036,467.14,0.0467,
block,V36,,,5,5,110.34,21.79,0.0022,111.58,0.0112,
block,V37,,,3,3,71.36,25.51,0.0026,51.36,0.0051,
block,V38,,,14,14,487.92,83.66,0.0084,506.22,0.0506,
block,V39,,,74,74,3240.11,879.38,0.0879,4638.2,0.4638,
block,V40,,,5,5,227.73,81.29,0.0081,388.87,0.0389,
block,V41,,,9,9,340.47,107.43,0.0107,376.41,0.0376,
block,V42,,,98,102,4233.34,1193.82,0.1194,8927.66,0.8928,
block,V43,,,5,5,137.03,41.58,0.0042,152.41,0.0152,
block,V44,,,6,6,252.68,33.73,0.0034,212.42,0.0212,
block,V45,,,50,62,2495.17,847.71,0.0848,5489.77,0.549,
block,V46,,,26,26,716.43,231.93,0.0232,1858.7,0.1859,
block,V47,,,33,33,1265.34,501.9,0.0502,2062.75,0.2063,
block,V48,,,7,7,277.43,80.17,0.008,290.47,0.029,
block,V49,,,9,9,161.68,16.94,0.0017,346.84,0.0347,
block,V50,,,6,6,198.35,41.1,0.0041,565.72,0.0566,
block,V51,,,17,17,555.27,191.57,0.0192,1236.29,0.1236,
block,V52,,,4,4,205.67,51.29,0.0051,247.62,0.0248,
block,V53,,,48,48,2023.05,556.3,0.0556,4450.4,0.445,
block,V54,,,11,11,376.28,46.15,0.0046,376.07,0.0376,
block,V55,,,29,29,991.17,197.38,0.0197,2133.4,0.2133,
block,V56,,,9,9,163.05,43.35,0.0043,85.57,0.0086,
block,V57,,,93,93,3939.54,761.03,0.0761,7287.07,0.7287,
block,V58,,,12,12,366.15,141.22,0.0141,701.35,0.0701,
block,V59,,,7,7,313.6,23.19,0.0023,530.88,0.0531,
block,V60,,,38,38,952.24,169.68,0.017,2158.21,0.2158,
block,V61,,,10,18,611.78,346.01,0.0346,1167.51,0.1168,
block,V62,,,94,100,4131.96,795.66,0.0796,7127.7,0.7128,
block,V63,,,329,364,13906.14,3759.88,0.376,25459.56,2.546,
block,V64,,,34,34,1600.37,480.44,0.048,1777.28,0.1777,
block,V65,,,90,90,3733.15,869.78,0.087,5704.07,0.5704,
block,V66,,,119,130,4745.43,953.02,0.0953,8951.75,0.8952,
block,V67,,,33,33,947.71,334.95,0.0335,2893.2,0.2893,
block,V68,,,189,211,8802.81,2456.6,0.2457,15471.46,1.5471,
block,V69,,,22,22,827.02,264.31,0.0264,1002.98,0.1003,
block,V70,,,27,66,2045.28,571.15,0.0571,4820.44,0.482,
row,V01,V01-R01,,,1,20.83,,,,,disrupted
row,V01,V01-R02,,,1,38.25,,,,,regular
row,V01,V01-R03,,,1,34.63,,,,,disrupted
